theta_deg,F1,FC_E,FC_H,F_E,F_H
1.44385,0.999841,0.986247,0.992174,0.986091,0.992017
1.44958,0.999840,0.986138,0.992112,0.985980,0.991954
1.45531,0.999839,0.986029,0.992050,0.985870,0.991890
1.46104,0.999837,0.985919,0.991988,0.985759,0.991826
1.46677,0.999836,0.985809,0.991925,0.985648,0.991762
1.47250,0.999835,0.985698,0.991862,0.985536,0.991698
1.47823,0.999834,0.985587,0.991799,0.985423,0.991634
1.48396,0.999832,0.985476,0.991735,0.985311,0.991569
1.48969,0.999831,0.985364,0.991671,0.985198,0.991504
1.49542,0.999830,0.985252,0.991607,0.985084,0.991438
1.50115,0.999828,0.985139,0.991543,0.984970,0.991373
1.50688,0.999827,0.985026,0.991479,0.984856,0.991307
1.51261,0.999826,0.984913,0.991414,0.984741,0.991241
1.51834,0.999824,0.984799,0.991349,0.984626,0.991175
1.52407,0.999823,0.984684,0.991284,0.984510,0.991108
1.52980,0.999822,0.984569,0.991218,0.984394,0.991042
1.53553,0.999820,0.984454,0.991153,0.984277,0.990975
1.54126,0.999819,0.984339,0.991087,0.984160,0.990908
1.54699,0.999818,0.984222,0.991021,0.984043,0.990840
1.55272,0.999816,0.984106,0.990954,0.983925,0.990772
1.55845,0.999815,0.983989,0.990888,0.983807,0.990704
1.56417,0.999814,0.983872,0.990821,0.983688,0.990636
1.56990,0.999812,0.983754,0.990754,0.983569,0.990568
1.57563,0.999811,0.983636,0.990686,0.983450,0.990499
1.58136,0.999810,0.983517,0.990619,0.983330,0.990430
1.58709,0.999808,0.983398,0.990551,0.983209,0.990361
1.59282,0.999807,0.983279,0.990483,0.983089,0.990291
1.59855,0.999805,0.983159,0.990414,0.982967,0.990222
1.60428,0.999804,0.983039,0.990346,0.982846,0.990152
1.61001,0.999803,0.982918,0.990277,0.982724,0.990081
1.61574,0.999801,0.982797,0.990208,0.982601,0.990011
1.62147,0.999800,0.982675,0.990139,0.982478,0.989940
1.62720,0.999798,0.982553,0.990069,0.982355,0.989869
1.63293,0.999797,0.982431,0.989999,0.982231,0.989798
1.63866,0.999796,0.982308,0.989929,0.982107,0.989727
1.64439,0.999794,0.982185,0.989859,0.981982,0.989655
1.65012,0.999793,0.982061,0.989788,0.981857,0.989583
1.65585,0.999791,0.981937,0.989718,0.981732,0.989511
1.66158,0.999790,0.981812,0.989647,0.981606,0.989439
1.66731,0.999788,0.981688,0.989575,0.981480,0.989366
1.67304,0.999787,0.981562,0.989504,0.981353,0.989293
1.67877,0.999785,0.981436,0.989432,0.981226,0.989220
1.68450,0.999784,0.981310,0.989360,0.981098,0.989147
1.69023,0.999782,0.981184,0.989288,0.980970,0.989073
1.69596,0.999781,0.981057,0.989216,0.980842,0.988999
1.70168,0.999779,0.980929,0.989143,0.980713,0.988925
1.70741,0.999778,0.980801,0.989070,0.980584,0.988851
1.71314,0.999777,0.980673,0.988997,0.980454,0.988776
1.71887,0.999775,0.980544,0.988924,0.980324,0.988701
1.72460,0.999774,0.980415,0.988850,0.980193,0.988626
1.73033,0.999772,0.980286,0.988776,0.980062,0.988551
1.73606,0.999770,0.980156,0.988702,0.979931,0.988475
1.74179,0.999769,0.980025,0.988628,0.979799,0.988399
1.74752,0.999767,0.979895,0.988553,0.979667,0.988323
1.75325,0.999766,0.979763,0.988478,0.979534,0.988247
1.75898,0.999764,0.979632,0.988403,0.979401,0.988170
1.76471,0.999763,0.979500,0.988328,0.979267,0.988093
1.77044,0.999761,0.979367,0.988252,0.979134,0.988016
1.77617,0.999760,0.979234,0.988176,0.978999,0.987939
1.78190,0.999758,0.979101,0.988100,0.978864,0.987861
1.78763,0.999757,0.978967,0.988024,0.978729,0.987784
1.79336,0.999755,0.978833,0.987947,0.978594,0.987705
1.79909,0.999754,0.978699,0.987871,0.978457,0.987627
1.80482,0.999752,0.978564,0.987794,0.978321,0.987549
1.81055,0.999750,0.978428,0.987716,0.978184,0.987470
1.81628,0.999749,0.978293,0.987639,0.978047,0.987391
1.82201,0.999747,0.978156,0.987561,0.977909,0.987312
1.82774,0.999746,0.978020,0.987483,0.977771,0.987232
1.83346,0.999744,0.977883,0.987405,0.977632,0.987152
1.83919,0.999742,0.977745,0.987327,0.977493,0.987072
1.84492,0.999741,0.977607,0.987248,0.977354,0.986992
1.85065,0.999739,0.977469,0.987169,0.977214,0.986912
1.85638,0.999738,0.977330,0.987090,0.977074,0.986831
1.86211,0.999736,0.977191,0.987010,0.976933,0.986750
1.86784,0.999734,0.977052,0.986931,0.976792,0.986669
1.87357,0.999733,0.976912,0.986851,0.976650,0.986587
1.87930,0.999731,0.976771,0.986771,0.976509,0.986505
1.88503,0.999729,0.976630,0.986690,0.976366,0.986423
1.89076,0.999728,0.976489,0.986610,0.976223,0.986341
1.89649,0.999726,0.976348,0.986529,0.976080,0.986259
1.90222,0.999724,0.976205,0.986448,0.975937,0.986176
1.90795,0.999723,0.976063,0.986367,0.975792,0.986093
1.91368,0.999721,0.975920,0.986285,0.975648,0.986010
1.91941,0.999719,0.975777,0.986203,0.975503,0.985926
1.92514,0.999718,0.975633,0.986121,0.975358,0.985843
1.93087,0.999716,0.975489,0.986039,0.975212,0.985759
1.93660,0.999714,0.975344,0.985956,0.975066,0.985675
1.94233,0.999713,0.975200,0.985874,0.974919,0.985590
1.94806,0.999711,0.975054,0.985791,0.974772,0.985506
1.95379,0.999709,0.974908,0.985707,0.974625,0.985421
1.95952,0.999708,0.974762,0.985624,0.974477,0.985336
1.96525,0.999706,0.974616,0.985540,0.974329,0.985250
1.97097,0.999704,0.974469,0.985456,0.974180,0.985165
1.97670,0.999702,0.974321,0.985372,0.974031,0.985079
1.98243,0.999701,0.974173,0.985288,0.973882,0.984993
1.98816,0.999699,0.974025,0.985203,0.973732,0.984906
1.99389,0.999697,0.973876,0.985118,0.973581,0.984820
1.99962,0.999696,0.973727,0.985033,0.973431,0.984733
2.00535,0.999694,0.973578,0.984947,0.973280,0.984646
2.01108,0.999692,0.973428,0.984862,0.973128,0.984559
2.01681,0.999690,0.973277,0.984776,0.972976,0.984471
2.02254,0.999689,0.973127,0.984690,0.972824,0.984383
2.02827,0.999687,0.972976,0.984604,0.972671,0.984295
2.03400,0.999685,0.972824,0.984517,0.972517,0.984207
2.03973,0.999683,0.972672,0.984430,0.972364,0.984118
2.04546,0.999681,0.972520,0.984343,0.972210,0.984029
2.05119,0.999680,0.972367,0.984256,0.972055,0.983940
2.05692,0.999678,0.972213,0.984168,0.971900,0.983851
2.06265,0.999676,0.972060,0.984081,0.971745,0.983762
2.06838,0.999674,0.971906,0.983992,0.971589,0.983672
2.07411,0.999672,0.971751,0.983904,0.971433,0.983582
2.07984,0.999671,0.971596,0.983816,0.971276,0.983492
2.08557,0.999669,0.971441,0.983727,0.971119,0.983401
2.09130,0.999667,0.971285,0.983638,0.970962,0.983311
2.09703,0.999665,0.971129,0.983549,0.970804,0.983220
2.10276,0.999663,0.970973,0.983459,0.970646,0.983128
2.10848,0.999661,0.970816,0.983370,0.970487,0.983037
2.11421,0.999660,0.970659,0.983280,0.970328,0.982945
2.11994,0.999658,0.970501,0.983190,0.970169,0.982853
2.12567,0.999656,0.970343,0.983099,0.970009,0.982761
2.13140,0.999654,0.970184,0.983009,0.969848,0.982669
2.13713,0.999652,0.970025,0.982918,0.969688,0.982576
2.14286,0.999650,0.969866,0.982827,0.969527,0.982483
2.14859,0.999648,0.969706,0.982735,0.969365,0.982390
2.15432,0.999647,0.969546,0.982644,0.969203,0.982297
2.16005,0.999645,0.969385,0.982552,0.969041,0.982203
