theta_deg,FH_single,FE_single,FH_double,FE_double
20.30562,0.249043,0.233566,0.208163,0.195227
20.31135,0.248653,0.233192,0.207700,0.194786
20.31708,0.248263,0.232818,0.207237,0.194344
20.32281,0.247874,0.232444,0.206775,0.193903
20.32854,0.247484,0.232070,0.206312,0.193462
20.33427,0.247094,0.231696,0.205850,0.193022
20.34000,0.246705,0.231322,0.205388,0.192581
20.34573,0.246315,0.230948,0.204926,0.192141
20.35146,0.245925,0.230574,0.204465,0.191701
20.35719,0.245535,0.230200,0.204003,0.191262
20.36292,0.245146,0.229826,0.203542,0.190822
20.36865,0.244756,0.229452,0.203081,0.190383
20.37438,0.244366,0.229078,0.202620,0.189944
20.38011,0.243976,0.228704,0.202160,0.189505
20.38584,0.243586,0.228330,0.201700,0.189067
20.39157,0.243196,0.227956,0.201240,0.188629
20.39730,0.242806,0.227582,0.200780,0.188191
20.40303,0.242417,0.227208,0.200320,0.187753
20.40876,0.242027,0.226834,0.199861,0.187315
20.41449,0.241637,0.226460,0.199402,0.186878
20.42022,0.241247,0.226086,0.198943,0.186441
20.42595,0.240857,0.225713,0.198484,0.186004
20.43167,0.240467,0.225339,0.198026,0.185568
20.43740,0.240077,0.224965,0.197567,0.185131
20.44313,0.239686,0.224591,0.197109,0.184695
20.44886,0.239296,0.224217,0.196652,0.184259
20.45459,0.238906,0.223843,0.196194,0.183824
20.46032,0.238516,0.223469,0.195737,0.183389
20.46605,0.238126,0.223095,0.195280,0.182954
20.47178,0.237736,0.222722,0.194823,0.182519
20.47751,0.237346,0.222348,0.194366,0.182084
20.48324,0.236955,0.221974,0.193910,0.181650
20.48897,0.236565,0.221600,0.193454,0.181216
20.49470,0.236175,0.221226,0.192998,0.180782
20.50043,0.235785,0.220852,0.192543,0.180349
20.50616,0.235394,0.220479,0.192087,0.179916
20.51189,0.235004,0.220105,0.191632,0.179483
20.51762,0.234614,0.219731,0.191178,0.179050
20.52335,0.234224,0.219357,0.190723,0.178618
20.52908,0.233833,0.218984,0.190269,0.178186
20.53481,0.233443,0.218610,0.189815,0.177754
20.54054,0.233053,0.218236,0.189361,0.177322
20.54627,0.232662,0.217862,0.188907,0.176891
20.55200,0.232272,0.217489,0.188454,0.176460
20.55773,0.231881,0.217115,0.188001,0.176029
20.56346,0.231491,0.216741,0.187548,0.175598
20.56918,0.231100,0.216367,0.187096,0.175168
20.57491,0.230710,0.215994,0.186644,0.174738
20.58064,0.230320,0.215620,0.186192,0.174309
20.58637,0.229929,0.215246,0.185740,0.173879
20.59210,0.229538,0.214873,0.185289,0.173450
20.59783,0.229148,0.214499,0.184837,0.173021
20.60356,0.228757,0.214126,0.184387,0.172593
20.60929,0.228367,0.213752,0.183936,0.172164
20.61502,0.227976,0.213378,0.183486,0.171736
20.62075,0.227586,0.213005,0.183036,0.171309
20.62648,0.227195,0.212631,0.182586,0.170881
20.63221,0.226805,0.212258,0.182136,0.170454
20.63794,0.226414,0.211884,0.181687,0.170027
20.64367,0.226023,0.211511,0.181238,0.169601
20.64940,0.225633,0.211137,0.180789,0.169175
20.65513,0.225242,0.210764,0.180341,0.168749
20.66086,0.224851,0.210390,0.179893,0.168323
20.66659,0.224461,0.210017,0.179445,0.167898
20.67232,0.224070,0.209643,0.178997,0.167473
20.67805,0.223679,0.209270,0.178550,0.167048
20.68378,0.223288,0.208896,0.178103,0.166623
20.68951,0.222898,0.208523,0.177657,0.166199
20.69524,0.222507,0.208149,0.177210,0.165775
20.70097,0.222116,0.207776,0.176764,0.165352
20.70669,0.221725,0.207403,0.176318,0.164929
20.71242,0.221335,0.207029,0.175873,0.164506
20.71815,0.220944,0.206656,0.175428,0.164083
20.72388,0.220553,0.206282,0.174983,0.163661
20.72961,0.220162,0.205909,0.174538,0.163239
20.73534,0.219771,0.205536,0.174094,0.162817
20.74107,0.219380,0.205163,0.173650,0.162395
20.74680,0.218990,0.204789,0.173206,0.161974
20.75253,0.218599,0.204416,0.172763,0.161554
20.75826,0.218208,0.204043,0.172319,0.161133
20.76399,0.217817,0.203669,0.171877,0.160713
20.76972,0.217426,0.203296,0.171434,0.160293
20.77545,0.217035,0.202923,0.170992,0.159874
20.78118,0.216644,0.202550,0.170550,0.159454
20.78691,0.216253,0.202177,0.170108,0.159035
20.79264,0.215862,0.201804,0.169667,0.158617
20.79837,0.215471,0.201430,0.169226,0.158199
20.80410,0.215080,0.201057,0.168786,0.157781
20.80983,0.214689,0.200684,0.168345,0.157363
20.81556,0.214298,0.200311,0.167905,0.156946
20.82129,0.213908,0.199938,0.167465,0.156529
20.82702,0.213517,0.199565,0.167026,0.156112
20.83275,0.213126,0.199192,0.166587,0.155696
20.83848,0.212734,0.198819,0.166148,0.155280
20.84420,0.212343,0.198446,0.165710,0.154864
20.84993,0.211952,0.198073,0.165272,0.154449
20.85566,0.211561,0.197700,0.164834,0.154034
20.86139,0.211170,0.197327,0.164396,0.153619
20.86712,0.210779,0.196954,0.163959,0.153205
20.87285,0.210388,0.196581,0.163523,0.152791
20.87858,0.209997,0.196208,0.163086,0.152377
20.88431,0.209606,0.195835,0.162650,0.151964
20.89004,0.209215,0.195463,0.162214,0.151551
20.89577,0.208824,0.195090,0.161779,0.151139
20.90150,0.208433,0.194717,0.161343,0.150726
20.90723,0.208042,0.194344,0.160909,0.150314
20.91296,0.207651,0.193971,0.160474,0.149903
20.91869,0.207259,0.193599,0.160040,0.149491
20.92442,0.206868,0.193226,0.159606,0.149081
20.93015,0.206477,0.192853,0.159173,0.148670
20.93588,0.206086,0.192480,0.158740,0.148260
20.94161,0.205695,0.192108,0.158307,0.147850
20.94734,0.205304,0.191735,0.157874,0.147440
20.95307,0.204913,0.191363,0.157442,0.147031
20.95880,0.204522,0.190990,0.157011,0.146622
20.96453,0.204130,0.190617,0.156579,0.146214
20.97026,0.203739,0.190245,0.156148,0.145806
20.97598,0.203348,0.189872,0.155717,0.145398
20.98171,0.202957,0.189500,0.155287,0.144991
20.98744,0.202566,0.189127,0.154857,0.144584
20.99317,0.202174,0.188755,0.154427,0.144177
20.99890,0.201783,0.188382,0.153998,0.143771
21.00463,0.201392,0.188010,0.153569,0.143365
21.01036,0.201001,0.187637,0.153140,0.142959
21.01609,0.200610,0.187265,0.152712,0.142554
21.02182,0.200218,0.186893,0.152284,0.142149
21.02755,0.199827,0.186520,0.151857,0.141744
21.03328,0.199436,0.186148,0.151430,0.141340
21.03901,0.199045,0.185776,0.151003,0.140936
21.04474,0.198654,0.185403,0.150576,0.140533
21.05047,0.198262,0.185031,0.150150,0.140130
21.05620,0.197871,0.184659,0.149725,0.139727
21.06193,0.197480,0.184287,0.149299,0.139325
21.06766,0.197089,0.183915,0.148874,0.138923
21.07339,0.196697,0.183542,0.148450,0.138521
21.07912,0.196306,0.183170,0.148025,0.138120
21.08485,0.195915,0.182798,0.147601,0.137719
21.09058,0.195524,0.182426,0.147178,0.137319
21.09631,0.195133,0.182054,0.146755,0.136919
21.10204,0.194741,0.181682,0.146332,0.136519
21.10777,0.194350,0.181310,0.145910,0.136120
21.11349,0.193959,0.180938,0.145488,0.135721
21.11922,0.193568,0.180566,0.145066,0.135322
