theta_deg,F1E,FH,FE
0.76490,0.999869,1.000000,0.999869
0.76547,0.999869,1.000000,0.999869
0.76604,0.999869,1.000000,0.999869
0.76662,0.999869,1.000000,0.999869
0.76719,0.999868,1.000000,0.999868
0.76776,0.999868,1.000000,0.999868
0.76834,0.999868,1.000000,0.999868
0.76891,0.999868,1.000000,0.999868
0.76948,0.999868,1.000000,0.999868
0.77006,0.999867,1.000000,0.999867
0.77063,0.999867,1.000000,0.999867
0.77120,0.999867,1.000000,0.999867
0.77177,0.999867,1.000000,0.999867
0.77235,0.999867,1.000000,0.999867
0.77292,0.999866,1.000000,0.999866
0.77349,0.999866,1.000000,0.999866
0.77407,0.999866,1.000000,0.999866
0.77464,0.999866,1.000000,0.999866
0.77521,0.999866,1.000000,0.999866
0.77578,0.999865,1.000000,0.999865
0.77636,0.999865,1.000000,0.999865
0.77693,0.999865,1.000000,0.999865
0.77750,0.999865,1.000000,0.999865
0.77808,0.999865,1.000000,0.999865
0.77865,0.999865,1.000000,0.999864
0.77922,0.999864,1.000000,0.999864
0.77980,0.999864,1.000000,0.999864
0.78037,0.999864,1.000000,0.999864
0.78094,0.999864,1.000000,0.999864
0.78151,0.999864,1.000000,0.999863
0.78209,0.999863,1.000000,0.999863
0.78266,0.999863,1.000000,0.999863
0.78323,0.999863,1.000000,0.999863
0.78381,0.999863,1.000000,0.999863
0.78438,0.999863,1.000000,0.999862
0.78495,0.999862,1.000000,0.999862
0.78553,0.999862,1.000000,0.999862
0.78610,0.999862,1.000000,0.999862
0.78667,0.999862,1.000000,0.999862
0.78724,0.999861,1.000000,0.999861
0.78782,0.999861,1.000000,0.999861
0.78839,0.999861,1.000000,0.999861
0.78896,0.999861,1.000000,0.999861
0.78954,0.999861,1.000000,0.999861
0.79011,0.999860,1.000000,0.999860
0.79068,0.999860,1.000000,0.999860
0.79125,0.999860,1.000000,0.999860
0.79183,0.999860,1.000000,0.999860
0.79240,0.999860,1.000000,0.999860
0.79297,0.999859,1.000000,0.999859
0.79355,0.999859,1.000000,0.999859
0.79412,0.999859,1.000000,0.999859
0.79469,0.999859,1.000000,0.999859
0.79527,0.999859,1.000000,0.999859
0.79584,0.999858,1.000000,0.999858
0.79641,0.999858,1.000000,0.999858
0.79698,0.999858,1.000000,0.999858
0.79756,0.999858,1.000000,0.999858
0.79813,0.999858,1.000000,0.999858
0.79870,0.999857,1.000000,0.999857
0.79928,0.999857,1.000000,0.999857
0.79985,0.999857,1.000000,0.999857
0.80042,0.999857,1.000000,0.999857
0.80099,0.999857,1.000000,0.999857
0.80157,0.999856,1.000000,0.999856
0.80214,0.999856,1.000000,0.999856
0.80271,0.999856,1.000000,0.999856
0.80329,0.999856,1.000000,0.999856
0.80386,0.999856,1.000000,0.999856
0.80443,0.999855,1.000000,0.999855
0.80501,0.999855,1.000000,0.999855
0.80558,0.999855,1.000000,0.999855
0.80615,0.999855,1.000000,0.999855
0.80672,0.999855,1.000000,0.999854
0.80730,0.999854,1.000000,0.999854
0.80787,0.999854,1.000000,0.999854
0.80844,0.999854,1.000000,0.999854
0.80902,0.999854,1.000000,0.999854
0.80959,0.999854,1.000000,0.999853
0.81016,0.999853,1.000000,0.999853
0.81074,0.999853,1.000000,0.999853
0.81131,0.999853,1.000000,0.999853
0.81188,0.999853,1.000000,0.999853
0.81245,0.999852,1.000000,0.999852
0.81303,0.999852,1.000000,0.999852
0.81360,0.999852,1.000000,0.999852
0.81417,0.999852,1.000000,0.999852
0.81475,0.999852,1.000000,0.999852
0.81532,0.999851,1.000000,0.999851
0.81589,0.999851,1.000000,0.999851
0.81646,0.999851,1.000000,0.999851
0.81704,0.999851,1.000000,0.999851
0.81761,0.999851,1.000000,0.999851
0.81818,0.999850,1.000000,0.999850
0.81876,0.999850,1.000000,0.999850
0.81933,0.999850,1.000000,0.999850
0.81990,0.999850,1.000000,0.999850
0.82048,0.999850,1.000000,0.999849
0.82105,0.999849,1.000000,0.999849
0.82162,0.999849,1.000000,0.999849
0.82219,0.999849,1.000000,0.999849
0.82277,0.999849,1.000000,0.999849
0.82334,0.999849,1.000000,0.999848
0.82391,0.999848,1.000000,0.999848
0.82449,0.999848,1.000000,0.999848
0.82506,0.999848,1.000000,0.999848
0.82563,0.999848,1.000000,0.999848
0.82621,0.999847,1.000000,0.999847
0.82678,0.999847,1.000000,0.999847
0.82735,0.999847,1.000000,0.999847
0.82792,0.999847,1.000000,0.999847
0.82850,0.999847,1.000000,0.999847
0.82907,0.999846,1.000000,0.999846
0.82964,0.999846,1.000000,0.999846
0.83022,0.999846,1.000000,0.999846
0.83079,0.999846,1.000000,0.999846
0.83136,0.999846,1.000000,0.999845
0.83193,0.999845,1.000000,0.999845
0.83251,0.999845,1.000000,0.999845
0.83308,0.999845,1.000000,0.999845
0.83365,0.999845,1.000000,0.999845
0.83423,0.999844,1.000000,0.999844
0.83480,0.999844,1.000000,0.999844
0.83537,0.999844,1.000000,0.999844
0.83595,0.999844,1.000000,0.999844
0.83652,0.999844,1.000000,0.999844
0.83709,0.999843,1.000000,0.999843
0.83766,0.999843,1.000000,0.999843
0.83824,0.999843,1.000000,0.999843
0.83881,0.999843,1.000000,0.999843
0.83938,0.999843,1.000000,0.999842
0.83996,0.999842,1.000000,0.999842
0.84053,0.999842,1.000000,0.999842
0.84110,0.999842,1.000000,0.999842
0.84168,0.999842,1.000000,0.999842
0.84225,0.999841,1.000000,0.999841
0.84282,0.999841,1.000000,0.999841
0.84339,0.999841,1.000000,0.999841
0.84397,0.999841,1.000000,0.999841
0.84454,0.999841,1.000000,0.999841
0.84511,0.999840,1.000000,0.999840
0.84569,0.999840,1.000000,0.999840
0.84626,0.999840,1.000000,0.999840
0.84683,0.999840,1.000000,0.999840
0.84740,0.999840,1.000000,0.999839
0.84798,0.999839,1.000000,0.999839
0.84855,0.999839,1.000000,0.999839
0.84912,0.999839,1.000000,0.999839
0.84970,0.999839,1.000000,0.999839
0.85027,0.999838,1.000000,0.999838
0.85084,0.999838,1.000000,0.999838
0.85142,0.999838,1.000000,0.999838
0.85199,0.999838,1.000000,0.999838
0.85256,0.999838,1.000000,0.999837
0.85313,0.999837,1.000000,0.999837
0.85371,0.999837,1.000000,0.999837
0.85428,0.999837,1.000000,0.999837
0.85485,0.999837,1.000000,0.999837
0.85543,0.999836,1.000000,0.999836
0.85600,0.999836,1.000000,0.999836
0.85657,0.999836,1.000000,0.999836
0.85714,0.999836,1.000000,0.999836
0.85772,0.999836,1.000000,0.999836
0.85829,0.999835,1.000000,0.999835
0.85886,0.999835,1.000000,0.999835
0.85944,0.999835,1.000000,0.999835
0.86001,0.999835,1.000000,0.999835
0.86058,0.999834,1.000000,0.999834
0.86116,0.999834,1.000000,0.999834
0.86173,0.999834,1.000000,0.999834
0.86230,0.999834,1.000000,0.999834
0.86287,0.999834,1.000000,0.999834
0.86345,0.999833,1.000000,0.999833
0.86402,0.999833,1.000000,0.999833
0.86459,0.999833,1.000000,0.999833
0.86517,0.999833,1.000000,0.999833
0.86574,0.999833,1.000000,0.999832
0.86631,0.999832,1.000000,0.999832
0.86689,0.999832,1.000000,0.999832
0.86746,0.999832,1.000000,0.999832
0.86803,0.999832,1.000000,0.999832
0.86860,0.999831,1.000000,0.999831
0.86918,0.999831,1.000000,0.999831
0.86975,0.999831,1.000000,0.999831
0.87032,0.999831,1.000000,0.999831
0.87090,0.999830,1.000000,0.999830
0.87147,0.999830,1.000000,0.999830
0.87204,0.999830,1.000000,0.999830
0.87261,0.999830,1.000000,0.999830
0.87319,0.999830,1.000000,0.999830
0.87376,0.999829,1.000000,0.999829
0.87433,0.999829,1.000000,0.999829
0.87491,0.999829,1.000000,0.999829
0.87548,0.999829,1.000000,0.999829
0.87605,0.999828,1.000000,0.999828
0.87663,0.999828,1.000000,0.999828
0.87720,0.999828,1.000000,0.999828
0.87777,0.999828,1.000000,0.999828
0.87834,0.999828,1.000000,0.999827
0.87892,0.999827,1.000000,0.999827
0.87949,0.999827,1.000000,0.999827
0.88006,0.999827,1.000000,0.999827
0.88064,0.999827,1.000000,0.999827
0.88121,0.999826,1.000000,0.999826
0.88178,0.999826,1.000000,0.999826
0.88236,0.999826,1.000000,0.999826
0.88293,0.999826,1.000000,0.999826
0.88350,0.999826,1.000000,0.999825
0.88407,0.999825,1.000000,0.999825
0.88465,0.999825,1.000000,0.999825
0.88522,0.999825,1.000000,0.999825
0.88579,0.999825,1.000000,0.999825
0.88637,0.999824,1.000000,0.999824
0.88694,0.999824,1.000000,0.999824
0.88751,0.999824,1.000000,0.999824
0.88808,0.999824,1.000000,0.999824
0.88866,0.999824,1.000000,0.999823
0.88923,0.999823,1.000000,0.999823
0.88980,0.999823,1.000000,0.999823
0.89038,0.999823,1.000000,0.999823
0.89095,0.999823,1.000000,0.999823
0.89152,0.999822,1.000000,0.999822
0.89210,0.999822,1.000000,0.999822
0.89267,0.999822,1.000000,0.999822
0.89324,0.999822,1.000000,0.999822
0.89381,0.999821,1.000000,0.999821
0.89439,0.999821,1.000000,0.999821
0.89496,0.999821,1.000000,0.999821
0.89553,0.999821,1.000000,0.999821
0.89611,0.999821,1.000000,0.999820
0.89668,0.999820,1.000000,0.999820
0.89725,0.999820,1.000000,0.999820
0.89782,0.999820,1.000000,0.999820
0.89840,0.999820,1.000000,0.999820
0.89897,0.999819,1.000000,0.999819
0.89954,0.999819,1.000000,0.999819
0.90012,0.999819,1.000000,0.999819
0.90069,0.999819,1.000000,0.999819
0.90126,0.999818,1.000000,0.999818
0.90184,0.999818,1.000000,0.999818
0.90241,0.999818,1.000000,0.999818
0.90298,0.999818,1.000000,0.999818
0.90355,0.999818,1.000000,0.999817
0.90413,0.999817,1.000000,0.999817
0.90470,0.999817,1.000000,0.999817
0.90527,0.999817,1.000000,0.999817
0.90585,0.999817,1.000000,0.999817
0.90642,0.999816,1.000000,0.999816
0.90699,0.999816,1.000000,0.999816
0.90757,0.999816,1.000000,0.999816
0.90814,0.999816,1.000000,0.999816
0.90871,0.999815,1.000000,0.999815
0.90928,0.999815,1.000000,0.999815
0.90986,0.999815,1.000000,0.999815
0.91043,0.999815,1.000000,0.999815
0.91100,0.999815,1.000000,0.999814
0.91158,0.999814,1.000000,0.999814
0.91215,0.999814,1.000000,0.999814
0.91272,0.999814,1.000000,0.999814
0.91329,0.999814,1.000000,0.999813
0.91387,0.999813,1.000000,0.999813
0.91444,0.999813,1.000000,0.999813
0.91501,0.999813,1.000000,0.999813
0.91559,0.999813,1.000000,0.999813
0.91616,0.999812,1.000000,0.999812
0.91673,0.999812,1.000000,0.999812
0.91731,0.999812,1.000000,0.999812
0.91788,0.999812,1.000000,0.999812
0.91845,0.999811,1.000000,0.999811
0.91902,0.999811,1.000000,0.999811
0.91960,0.999811,1.000000,0.999811
0.92017,0.999811,1.000000,0.999811
0.92074,0.999811,1.000000,0.999810
0.92132,0.999810,1.000000,0.999810
0.92189,0.999810,1.000000,0.999810
0.92246,0.999810,1.000000,0.999810
0.92304,0.999810,1.000000,0.999809
0.92361,0.999809,1.000000,0.999809
0.92418,0.999809,1.000000,0.999809
0.92475,0.999809,1.000000,0.999809
0.92533,0.999809,1.000000,0.999809
0.92590,0.999808,1.000000,0.999808
0.92647,0.999808,1.000000,0.999808
0.92705,0.999808,1.000000,0.999808
0.92762,0.999808,1.000000,0.999808
0.92819,0.999807,1.000000,0.999807
0.92876,0.999807,1.000000,0.999807
0.92934,0.999807,1.000000,0.999807
0.92991,0.999807,1.000000,0.999807
0.93048,0.999807,1.000000,0.999806
0.93106,0.999806,1.000000,0.999806
0.93163,0.999806,1.000000,0.999806
0.93220,0.999806,1.000000,0.999806
0.93278,0.999806,1.000000,0.999805
0.93335,0.999805,1.000000,0.999805
0.93392,0.999805,1.000000,0.999805
0.93449,0.999805,1.000000,0.999805
0.93507,0.999805,1.000000,0.999804
0.93564,0.999804,1.000000,0.999804
0.93621,0.999804,1.000000,0.999804
0.93679,0.999804,1.000000,0.999804
0.93736,0.999804,1.000000,0.999804
0.93793,0.999803,1.000000,0.999803
0.93850,0.999803,1.000000,0.999803
0.93908,0.999803,1.000000,0.999803
0.93965,0.999803,1.000000,0.999803
0.94022,0.999802,1.000000,0.999802
0.94080,0.999802,1.000000,0.999802
0.94137,0.999802,1.000000,0.999802
0.94194,0.999802,1.000000,0.999802
0.94252,0.999801,1.000000,0.999801
0.94309,0.999801,1.000000,0.999801
0.94366,0.999801,1.000000,0.999801
0.94423,0.999801,1.000000,0.999801
0.94481,0.999801,1.000000,0.999800
0.94538,0.999800,1.000000,0.999800
0.94595,0.999800,1.000000,0.999800
0.94653,0.999800,1.000000,0.999800
0.94710,0.999800,1.000000,0.999799
0.94767,0.999799,1.000000,0.999799
0.94825,0.999799,1.000000,0.999799
0.94882,0.999799,1.000000,0.999799
0.94939,0.999799,1.000000,0.999798
0.94996,0.999798,1.000000,0.999798
0.95054,0.999798,1.000000,0.999798
0.95111,0.999798,1.000000,0.999798
0.95168,0.999798,1.000000,0.999797
0.95226,0.999797,1.000000,0.999797
0.95283,0.999797,1.000000,0.999797
0.95340,0.999797,1.000000,0.999797
0.95397,0.999797,1.000000,0.999796
0.95455,0.999796,1.000000,0.999796
0.95512,0.999796,1.000000,0.999796
0.95569,0.999796,1.000000,0.999796
0.95627,0.999796,1.000000,0.999796
0.95684,0.999795,1.000000,0.999795
0.95741,0.999795,1.000000,0.999795
0.95799,0.999795,1.000000,0.999795
0.95856,0.999795,1.000000,0.999795
0.95913,0.999794,1.000000,0.999794
0.95970,0.999794,1.000000,0.999794
0.96028,0.999794,1.000000,0.999794
0.96085,0.999794,1.000000,0.999794
0.96142,0.999793,1.000000,0.999793
0.96200,0.999793,1.000000,0.999793
0.96257,0.999793,1.000000,0.999793
0.96314,0.999793,1.000000,0.999793
0.96372,0.999792,1.000000,0.999792
0.96429,0.999792,1.000000,0.999792
0.96486,0.999792,1.000000,0.999792
0.96543,0.999792,1.000000,0.999792
0.96601,0.999791,1.000000,0.999791
0.96658,0.999791,1.000000,0.999791
0.96715,0.999791,1.000000,0.999791
0.96773,0.999791,1.000000,0.999791
0.96830,0.999790,1.000000,0.999790
0.96887,0.999790,1.000000,0.999790
0.96944,0.999790,1.000000,0.999790
0.97002,0.999790,1.000000,0.999790
0.97059,0.999789,1.000000,0.999789
